Date,Open,High,Low,Close,Adj Close
1994/5/2,45.09375,45.71875,44.9375,45.375,28.002497
1994/5/3,45.390625,45.40625,45.0625,45.328125,27.973581
1994/5/4,45.421875,45.421875,45.078125,45.25,27.925362
1994/5/5,45.296875,45.375,45.1875,45.1875,27.886799
1994/5/6,44.96875,44.96875,44.59375,44.75,27.616806
1994/5/9,44.625,44.75,44.28125,44.359375,27.375734
1994/5/10,44.578125,44.84375,44.546875,44.703125,27.587868
1994/5/11,44.65625,44.71875,44.171875,44.296875,27.337147
1994/5/12,44.578125,44.625,44.40625,44.515625,27.472164
1994/5/13,44.640625,44.640625,44.296875,44.515625,27.472164
1994/5/16,44.609375,44.75,44.515625,44.53125,27.481785
1994/5/17,44.5625,45.1875,44.5,45.1875,27.886799
1994/5/18,45.21875,45.6875,45.015625,45.515625,28.089298
1994/5/19,45.421875,45.859375,45.421875,45.734375,28.224293
1994/5/20,45.65625,45.6875,45.5,45.5625,28.118214
1994/5/23,45.515625,45.53125,45.34375,45.484375,28.070004
1994/5/24,45.609375,45.84375,45.609375,45.671875,28.185707
1994/5/25,45.5,45.828125,45.34375,45.796875,28.26284
1994/5/26,45.78125,45.9375,45.734375,45.828125,28.28215
1994/5/27,45.75,45.875,45.671875,45.875,28.311081
1994/5/31,45.734375,45.90625,45.65625,45.8125,28.27249
1994/6/1,45.703125,46.015625,45.5625,46.015625,28.397863
1994/6/2,46.046875,46.046875,45.890625,45.96875,28.368929
1994/6/3,46,46.390625,45.859375,46.234375,28.532858
1994/6/6,46.328125,46.46875,46.1875,46.21875,28.523203
1994/6/7,46.140625,46.21875,46.03125,46.15625,28.484642
1994/6/8,46.265625,46.265625,45.78125,45.78125,28.253216
1994/6/9,45.984375,46.03125,45.890625,46.03125,28.407507
1994/6/10,46.078125,46.203125,46.078125,46.109375,28.455723
1994/6/13,46.046875,46.1875,46.03125,46.171875,28.494284
1994/6/14,46.3125,46.546875,46.3125,46.53125,28.716059
1994/6/15,46.546875,46.5625,46.3125,46.34375,28.600357
1994/6/16,46.34375,46.46875,46.296875,46.4375,28.658209
1994/6/17,46.15625,46.203125,45.8125,45.875,28.498253
1994/6/20,45.546875,45.625,45.4375,45.484375,28.255585
1994/6/21,45.453125,45.453125,44.90625,45.09375,28.012924
1994/6/22,45.21875,45.421875,45.171875,45.265625,28.119699
1994/6/23,45.34375,45.40625,44.9375,45,27.954681
1994/6/24,44.78125,44.78125,44,44.0625,27.37229
1994/6/27,44.234375,44.828125,44.015625,44.828125,27.847918
1994/6/28,44.84375,44.84375,44.25,44.609375,27.712029
1994/6/29,44.671875,45.015625,44.625,44.75,27.799395
1994/6/30,44.828125,44.84375,44.3125,44.46875,27.624657
1994/7/1,44.6875,44.6875,44.375,44.5625,27.682888
1994/7/5,44.65625,44.859375,44.515625,44.796875,27.828495
1994/7/6,44.625,44.8125,44.46875,44.734375,27.78968
1994/7/7,44.734375,44.921875,44.6875,44.921875,27.906151
1994/7/8,44.640625,44.984375,44.625,44.90625,27.896441
1994/7/11,44.9375,45.015625,44.53125,44.75,27.799395
1994/7/12,44.765625,44.828125,44.515625,44.8125,27.838194
1994/7/13,44.828125,45.03125,44.828125,44.890625,27.886745
1994/7/14,45.109375,45.46875,45.078125,45.375,28.187632
1994/7/15,45.34375,45.484375,45.328125,45.390625,28.197365
1994/7/18,45.390625,45.578125,45.390625,45.46875,28.245882
1994/7/19,45.546875,45.5625,45.375,45.375,28.187632
1994/7/20,45.40625,45.40625,45.0625,45.171875,28.061453
1994/7/21,45.171875,45.296875,45.078125,45.265625,28.119699
1994/7/22,45.375,45.40625,45.25,45.34375,28.168224
1994/7/25,45.359375,45.453125,45.3125,45.40625,28.207052
1994/7/26,45.390625,45.421875,45.3125,45.359375,28.177919
1994/7/27,45.359375,45.359375,45.171875,45.359375,28.177919
1994/7/28,45.359375,45.578125,45.359375,45.453125,28.236172
1994/7/29,45.765625,46.046875,45.75,45.90625,28.517664
1994/8/1,45.9375,46.15625,45.890625,46.125,28.653543
1994/8/2,46.28125,46.375,46.03125,46.1875,28.692385
1994/8/3,46.171875,46.234375,46.09375,46.203125,28.702076
1994/8/4,46.171875,46.21875,45.921875,45.9375,28.537071
1994/8/5,45.703125,45.84375,45.65625,45.78125,28.440008
1994/8/8,45.828125,45.9375,45.78125,45.890625,28.507946
1994/8/9,45.71875,45.96875,45.71875,45.96875,28.556488
1994/8/10,46,46.1875,45.9375,46.140625,28.663252
1994/8/11,46.03125,46.234375,45.734375,45.96875,28.556488
1994/8/12,46.046875,46.34375,46.046875,46.328125,28.779736
1994/8/15,46.375,46.484375,46.3125,46.3125,28.770033
1994/8/16,46.34375,46.6875,46.15625,46.640625,28.973858
1994/8/17,46.703125,46.734375,46.578125,46.609375,28.954462
1994/8/18,46.453125,46.5625,46.40625,46.453125,28.857382
1994/8/19,46.46875,46.515625,46.3125,46.421875,28.837967
1994/8/22,46.4375,46.4375,46.28125,46.375,28.808842
1994/8/23,46.578125,46.859375,46.515625,46.640625,28.973858
1994/8/24,46.6875,47.140625,46.671875,47.140625,29.284475
1994/8/25,47.09375,47.203125,46.890625,47.015625,29.206821
1994/8/26,47.125,47.78125,47.125,47.6875,29.624201
1994/8/29,47.8125,47.984375,47.640625,47.65625,29.604784
1994/8/30,47.640625,47.859375,47.578125,47.78125,29.682434
1994/8/31,47.703125,47.890625,47.59375,47.65625,29.604784
1994/9/1,47.5,47.53125,47.328125,47.5,29.507727
1994/9/2,47.71875,47.71875,47.21875,47.296875,29.381533
1994/9/6,47.265625,47.359375,47.125,47.3125,29.391247
1994/9/7,47.421875,47.421875,47.21875,47.265625,29.362127
1994/9/8,47.359375,47.5625,47.34375,47.5,29.507727
1994/9/9,47.03125,47.125,46.8125,47,29.197121
1994/9/12,47,47.0625,46.78125,46.859375,29.109753
1994/9/13,46.953125,47.125,46.859375,47,29.197121
1994/9/14,46.84375,47.109375,46.84375,47.046875,29.226227
1994/9/15,47.171875,47.640625,47.171875,47.640625,29.595074
1994/9/16,47,47.140625,46.84375,47.015625,29.384464
1994/9/19,47.125,47.328125,47.015625,47.0625,29.413746
1994/9/20,46.8125,46.859375,46.171875,46.171875,28.857119
1994/9/21,46.3125,46.3125,45.734375,46.171875,28.857119
1994/9/22,46.28125,46.28125,46.015625,46.0625,28.788748
1994/9/23,46.078125,46.171875,45.828125,45.90625,28.691109
1994/9/26,46.078125,46.171875,45.984375,46.140625,28.837582
1994/9/27,46.140625,46.265625,46,46.109375,28.818071
1994/9/28,46.359375,46.53125,46.328125,46.46875,29.042662
1994/9/29,46.46875,46.46875,46.09375,46.234375,28.896191
1994/9/30,46.21875,46.4375,46.171875,46.171875,28.857119
1994/10/3,46.203125,46.25,45.984375,46.0625,28.788748
1994/10/4,46.296875,46.296875,45.34375,45.375,28.359068
1994/10/5,45.296875,45.390625,45,45.390625,28.36886
1994/10/6,45.421875,45.453125,45.171875,45.25,28.280951
1994/10/7,45.25,45.578125,45.203125,45.453125,28.407904
1994/10/10,45.65625,46.015625,45.640625,45.9375,28.710642
1994/10/11,46.140625,46.75,46.140625,46.625,29.140305
1994/10/12,46.6875,46.75,46.578125,46.6875,29.17938
1994/10/13,47.21875,47.328125,46.796875,46.84375,29.277025
1994/10/14,47,47.0625,46.6875,47.046875,29.403982
1994/10/17,47,47.0625,46.90625,46.953125,29.345404
1994/10/18,46.90625,46.90625,46.6875,46.84375,29.277025
1994/10/19,46.671875,47.234375,46.65625,47.0625,29.413746
1994/10/20,47.0625,47.0625,46.609375,46.75,29.218433
1994/10/21,46.625,46.6875,46.359375,46.5625,29.101257
1994/10/24,46.578125,46.765625,46.15625,46.171875,28.857119
1994/10/25,46.015625,46.3125,46,46.21875,28.886408
1994/10/26,46.390625,46.4375,46.171875,46.390625,28.993841
1994/10/27,46.5625,46.671875,46.453125,46.671875,29.169613
1994/10/28,46.765625,47.703125,46.765625,47.65625,29.784834
1994/10/31,47.546875,47.59375,47.46875,47.484375,29.67741
1994/11/1,47.28125,47.28125,46.9375,46.953125,29.345404
1994/11/2,46.8125,47.234375,46.6875,46.6875,29.17938
1994/11/3,46.84375,47.015625,46.78125,46.9375,29.33563
1994/11/4,47.15625,47.15625,46.328125,46.328125,28.954777
1994/11/7,46.4375,46.59375,46.3125,46.46875,29.042662
1994/11/8,46.625,46.984375,46.546875,46.828125,29.267267
1994/11/9,47.328125,47.328125,46.5,46.90625,29.316101
1994/11/10,46.9375,47.03125,46.546875,46.578125,29.111025
1994/11/11,46.515625,46.5625,46.28125,46.40625,29.003613
1994/11/14,46.609375,46.859375,46.609375,46.84375,29.277025
1994/11/15,46.796875,47.09375,46.328125,46.6875,29.17938
1994/11/16,46.765625,46.84375,46.609375,46.84375,29.277025
1994/11/17,46.875,46.875,46.34375,46.53125,29.08172
1994/11/18,46.546875,46.625,46.265625,46.46875,29.042662
1994/11/21,46.4375,46.578125,46,46,28.749701
1994/11/22,45.828125,46,45,45,28.12471
1994/11/23,45.03125,45.265625,44.609375,45.25,28.280951
1994/11/25,45.28125,45.53125,45.28125,45.46875,28.417675
1994/11/28,45.453125,45.6875,45.34375,45.671875,28.544619
1994/11/29,45.65625,45.75,45.5,45.65625,28.534857
1994/11/30,45.890625,45.953125,45.59375,45.59375,28.495794
1994/12/1,45.640625,45.640625,45.046875,45.140625,28.212595
1994/12/2,45.046875,45.5625,45.046875,45.5625,28.476259
1994/12/5,45.65625,45.8125,45.5,45.609375,28.505547
1994/12/6,45.4375,45.65625,45.359375,45.640625,28.525089
1994/12/7,45.359375,45.5,45.265625,45.3125,28.320017
1994/12/8,45.5,45.5625,44.75,44.875,28.046577
1994/12/9,44.875,45.078125,44.6875,45.046875,28.154007
1994/12/12,44.953125,45.34375,44.953125,45.34375,28.339548
1994/12/13,45.3125,45.53125,45.3125,45.515625,28.446981
1994/12/14,45.453125,45.953125,45.453125,45.75,28.593454
1994/12/15,45.8125,46.03125,45.8125,45.890625,28.681334
1994/12/16,45.671875,45.84375,45.625,45.75,28.821434
1994/12/19,45.75,45.84375,45.609375,45.8125,28.860796
1994/12/20,45.859375,45.890625,45.671875,45.671875,28.772207
1994/12/21,45.703125,46.265625,45.703125,46.15625,29.077364
1994/12/22,46.15625,46.203125,45.96875,46.015625,28.988777
1994/12/23,45.984375,46.171875,45.984375,46.0625,29.018288
1994/12/27,46.21875,46.40625,46.1875,46.3125,29.175787
1994/12/28,46.359375,46.359375,45.96875,46.078125,29.028133
1994/12/29,46.25,46.25,46.0625,46.109375,29.047842
1994/12/30,46.203125,46.25,45.5625,45.5625,28.70331
1995/1/3,45.703125,45.84375,45.6875,45.78125,28.841124
1995/1/4,45.984375,46,45.75,46,28.978922
1995/1/5,46.03125,46.109375,45.953125,46,28.978922
1995/1/6,46.09375,46.25,45.90625,46.046875,29.008436
1995/1/9,46.03125,46.09375,46,46.09375,29.038006
1995/1/10,46.203125,46.390625,46.140625,46.140625,29.067511
1995/1/11,46.296875,46.296875,45.8125,46.171875,29.087204
1995/1/12,46.125,46.21875,46.03125,46.1875,29.097054
1995/1/13,46.4375,46.734375,46.375,46.734375,29.441566
1995/1/16,46.71875,47.03125,46.71875,47.015625,29.618755
1995/1/17,46.921875,47.0625,46.859375,47.03125,29.628597
1995/1/18,47,47.078125,46.875,46.984375,29.599068
1995/1/19,46.828125,46.875,46.6875,46.71875,29.431711
1995/1/20,46.65625,46.671875,46.453125,46.546875,29.323441
1995/1/23,46.234375,46.6875,46.203125,46.6875,29.412033
1995/1/24,46.671875,46.75,46.640625,46.75,29.451399
1995/1/25,46.515625,47.046875,46.515625,46.875,29.530157
1995/1/26,46.84375,46.984375,46.75,46.921875,29.559683
1995/1/27,47.234375,47.234375,46.921875,47.109375,29.677803
1995/1/30,47.015625,47.046875,46.84375,46.90625,29.549843
1995/1/31,47,47.171875,46.921875,47.09375,29.667967
1995/2/1,47.15625,47.328125,47,47.078125,29.658125
1995/2/2,47.0625,47.359375,47.0625,47.359375,29.835297
1995/2/3,47.65625,48.109375,47.578125,48.03125,30.25857
1995/2/6,48.015625,48.375,47.96875,48.234375,30.38653
1995/2/7,48.3125,48.3125,48.140625,48.296875,30.425911
1995/2/8,48.234375,48.46875,48.203125,48.296875,30.425911
1995/2/9,48.21875,48.296875,48.125,48.296875,30.425911
1995/2/10,48.234375,48.359375,48.09375,48.359375,30.465277
1995/2/13,48.328125,48.46875,48.328125,48.375,30.475132
1995/2/14,48.53125,48.53125,48.25,48.4375,30.514475
1995/2/15,48.4375,48.765625,48.390625,48.703125,30.681831
1995/2/16,48.640625,48.6875,48.5,48.640625,30.642462
1995/2/17,48.59375,48.625,48.4375,48.453125,30.52434
1995/2/21,48.453125,48.53125,48.421875,48.4375,30.514475
1995/2/22,48.484375,48.796875,48.453125,48.796875,30.740896
1995/2/23,48.984375,49.15625,48.859375,48.875,30.790117
1995/2/24,48.9375,49.015625,48.8125,49,30.868856
1995/2/27,48.859375,49,48.53125,48.609375,30.622763
